ID,Model,CodeQuality_Score,CodeExecutability_Score,CodeOutput_Score,Total_score
1,GPT35,23.333333333333332,10,15,48.33333333333333
1,GPT4,25,10,15,50
1,Llama,25,10,15,50
2,GPT35,24.666666666666668,10,14,48.66666666666667
2,GPT4,24.666666666666668,10,14,48.66666666666667
2,Llama,23,10,13.333333333333334,46.333333333333336
3,GPT35,24.666666666666668,10,14.333333333333334,49.00000000000001
3,GPT4,24.333333333333332,9.666666666666666,13.666666666666666,47.666666666666664
3,Llama,23,10,11.333333333333334,44.333333333333336
4,GPT35,24.666666666666668,10,14.666666666666666,49.333333333333336
4,GPT4,24.333333333333332,10,14,48.33333333333333
4,Llama,24.666666666666668,10,14.666666666666666,49.333333333333336
5,GPT35,25,10,15,50
5,GPT4,24.333333333333332,10,15,49.33333333333333
5,Llama,23.333333333333332,10,12.666666666666666,45.99999999999999
6,GPT35,25,10,15,50
6,GPT4,24.333333333333332,10,14.666666666666666,48.99999999999999
6,Llama,24.333333333333332,10,14.333333333333334,48.666666666666664
7,GPT35,23.666666666666668,10,15,48.66666666666667
7,GPT4,23,10,15,48
7,Llama,21.666666666666668,10,15,46.66666666666667
8,GPT35,25,10,12.333333333333334,47.333333333333336
8,GPT4,23.333333333333332,10,12.333333333333334,45.666666666666664
8,Llama,23,10,12.333333333333334,45.333333333333336
9,GPT35,24.666666666666668,10,9.666666666666666,44.333333333333336
9,GPT4,25,10,13,48
9,Llama,21,0,0,21
10,GPT35,21.333333333333332,10,10.666666666666666,42
10,GPT4,22,10,10.666666666666666,42.666666666666664
10,Llama,18.333333333333332,8.666666666666666,10.333333333333334,37.333333333333336
11,GPT35,22.666666666666668,0,0,22.666666666666668
11,GPT4,22,10,9.666666666666666,41.666666666666664
11,Llama,23.666666666666668,7.333333333333333,9.666666666666666,40.666666666666664
12,GPT35,23.333333333333332,10,12.666666666666666,45.99999999999999
12,GPT4,22,10,12.666666666666666,44.666666666666664
12,Llama,23.333333333333332,6,3.666666666666667,33
13,GPT35,24.333333333333332,9,14,47.33333333333333
13,GPT4,24.333333333333332,9,14,47.33333333333333
13,Llama,24.333333333333332,9.333333333333334,14,47.666666666666664
14,GPT35,24.333333333333332,9,10,43.33333333333333
14,GPT4,24,8,11.666666666666666,43.666666666666664
14,Llama,21.666666666666668,10,11.333333333333334,43
15,GPT35,24.666666666666668,0,0,24.666666666666668
15,GPT4,24.333333333333332,10,14.333333333333334,48.666666666666664
15,Llama,22.666666666666668,7.333333333333333,14.333333333333334,44.333333333333336
16,GPT35,24.333333333333332,10,13,47.33333333333333
16,GPT4,24.333333333333332,10,14.333333333333334,48.666666666666664
16,Llama,24.333333333333332,10,14.333333333333334,48.666666666666664
17,GPT35,21.666666666666668,8.666666666666666,15,45.333333333333336
17,GPT4,20.666666666666668,0,0,20.666666666666668
17,Llama,24.333333333333332,8,15,47.33333333333333
18,GPT35,24.333333333333332,3,0,27.333333333333332
18,GPT4,20.666666666666668,2,0,22.666666666666668
18,Llama,24.666666666666668,0,0,24.666666666666668
19,GPT35,25,10,12,47
19,GPT4,23.333333333333332,10,15,48.33333333333333
19,Llama,22.666666666666668,8,11.333333333333334,42
20,GPT35,25,10,13,48
20,GPT4,23.666666666666668,0,0,23.666666666666668
20,Llama,21.333333333333332,6,7,34.33333333333333
21,GPT35,22.333333333333332,10,8,40.33333333333333
21,GPT4,23,7.666666666666667,4,34.66666666666667
21,Llama,22,7.333333333333333,11.666666666666666,41
22,GPT35,24.666666666666668,3.333333333333333,0,28
22,GPT4,22.333333333333332,6.333333333333333,4,32.666666666666664
22,Llama,21.666666666666668,4.666666666666667,14.333333333333334,40.66666666666667
23,GPT35,24.333333333333332,10,13,47.33333333333333
23,GPT4,23.333333333333332,0,0,23.333333333333332
23,Llama,24.333333333333332,10,14.666666666666666,48.99999999999999
24,GPT35,25,10,12.666666666666666,47.666666666666664
24,GPT4,24.333333333333332,10,12.333333333333334,46.666666666666664
24,Llama,23,10,11,44
25,GPT35,25,10,12.666666666666666,47.666666666666664
25,GPT4,24.666666666666668,10,12.333333333333334,47.00000000000001
25,Llama,22.333333333333332,7,13,42.33333333333333
26,GPT35,24.666666666666668,10,5,39.66666666666667
26,GPT4,24.333333333333332,9,7.333333333333333,40.666666666666664
26,Llama,22.666666666666668,0,0,22.666666666666668
27,GPT35,25,10,13.333333333333334,48.333333333333336
27,GPT4,25,2.333333333333333,0,27.333333333333332
27,Llama,25,10,13.333333333333334,48.333333333333336
28,GPT35,22.666666666666668,0,0,22.666666666666668
28,GPT4,22.666666666666668,0,0,22.666666666666668
28,Llama,24,6.666666666666667,13,43.66666666666667
29,GPT35,20,10,9.333333333333334,39.333333333333336
29,GPT4,23,0,0,23
29,Llama,23,10,10.666666666666666,43.666666666666664
30,GPT35,24.333333333333332,10,15,49.33333333333333
30,GPT4,24,10,7,41
30,Llama,22.666666666666668,8,13.666666666666666,44.333333333333336
31,GPT35,24.666666666666668,10,15,49.66666666666667
31,GPT4,24,10,14,48
31,Llama,23.666666666666668,10,13.666666666666666,47.333333333333336
32,GPT35,23.666666666666668,10,15,48.66666666666667
32,GPT4,22.333333333333332,10,15,47.33333333333333
32,Llama,24.333333333333332,10,15,49.33333333333333
33,GPT35,22.666666666666668,0,0,22.666666666666668
33,GPT4,19,0,0,19
33,Llama,23,10,3,36
34,GPT35,25,10,15,50
34,GPT4,25,10,15,50
34,Llama,22,6,13,41
35,GPT35,25,0,0,25
35,GPT4,24.333333333333332,8.333333333333334,13,45.666666666666664
35,Llama,23,5.666666666666667,13,41.66666666666667
36,GPT35,22.666666666666668,7.666666666666667,13,43.333333333333336
36,GPT4,23.333333333333332,10,12.333333333333334,45.666666666666664
36,Llama,23.333333333333332,10,13.666666666666666,46.99999999999999
37,GPT35,24.666666666666668,0,0,24.666666666666668
37,GPT4,22,6.333333333333333,4,32.33333333333333
37,Llama,21.666666666666668,4.333333333333333,8.666666666666666,34.666666666666664
38,GPT35,21.666666666666668,10,8.333333333333334,40
38,GPT4,23,0,0,23
38,Llama,23.333333333333332,0,0,23.333333333333332
39,GPT35,25,10,15,50
39,GPT4,25,10,15,50
39,Llama,22.333333333333332,5.666666666666667,13,41
40,GPT35,23.666666666666668,0,0,23.666666666666668
40,GPT4,22.666666666666668,8.333333333333334,6,37
40,Llama,22.333333333333332,4.666666666666667,14.666666666666666,41.666666666666664
41,GPT35,23.333333333333332,10,10.333333333333334,43.666666666666664
41,GPT4,24,0,0,24
41,Llama,22.666666666666668,10,9,41.66666666666667
42,GPT35,24,10,11.666666666666666,45.666666666666664
42,GPT4,23.333333333333332,10,11.333333333333334,44.666666666666664
42,Llama,23.666666666666668,10,11,44.66666666666667
43,GPT35,25,0,0,25
43,GPT4,23.333333333333332,0,0,23.333333333333332
43,Llama,23,10,15,48
44,GPT35,25,10,10.666666666666666,45.666666666666664
44,GPT4,24.333333333333332,10,10.666666666666666,44.99999999999999
44,Llama,25,10,10.666666666666666,45.666666666666664
45,GPT35,22.333333333333332,6.666666666666667,0,29
45,GPT4,23.333333333333332,10,10.666666666666666,43.99999999999999
45,Llama,25,10,13.666666666666666,48.666666666666664
46,GPT35,21.666666666666668,10,8.333333333333334,40
46,GPT4,21.333333333333332,10,7.333333333333333,38.666666666666664
46,Llama,21.666666666666668,0,0,21.666666666666668
47,GPT35,22,0,0,22
47,GPT4,24.666666666666668,0,0,24.666666666666668
47,Llama,25,10,10.333333333333334,45.333333333333336
48,GPT35,25,10,11.666666666666666,46.666666666666664
48,GPT4,22.666666666666668,0,0,22.666666666666668
48,Llama,25,10,11.333333333333334,46.333333333333336
49,GPT35,22.333333333333332,0,0,22.333333333333332
49,GPT4,25,10,7.666666666666667,42.666666666666664
49,Llama,25,10,13,48
50,GPT35,22.333333333333332,5.333333333333333,9,36.666666666666664
50,GPT4,24,0,0,24
50,Llama,23.666666666666668,0,0,23.666666666666668
51,GPT35,23.666666666666668,0,0,23.666666666666668
51,GPT4,22.333333333333332,0,0,22.333333333333332
51,Llama,19,5.333333333333333,8,32.33333333333333
52,GPT35,22.666666666666668,10,10,42.66666666666667
52,GPT4,25,0,0,25
52,Llama,19.666666666666668,7.666666666666667,7,34.333333333333336
53,GPT35,23,0,0,23
53,GPT4,21.666666666666668,10,9.333333333333334,41
53,Llama,22.333333333333332,0,0,22.333333333333332
54,GPT35,22.333333333333332,0,0,22.333333333333332
54,GPT4,22.666666666666668,10,12.666666666666666,45.333333333333336
54,Llama,24,10,9,43
55,GPT35,23.333333333333332,0,0,23.333333333333332
55,GPT4,25,10,15,50
55,Llama,22.666666666666668,10,11.333333333333334,44.00000000000001
56,GPT35,24,0,0,24
56,GPT4,24,0,0,24
56,Llama,23.666666666666668,7.333333333333333,9,40
57,GPT35,23.333333333333332,10,4.666666666666667,37.99999999999999
57,GPT4,23.666666666666668,0,0,23.666666666666668
57,Llama,22.333333333333332,5.666666666666667,8.333333333333334,36.333333333333336
58,GPT35,22.333333333333332,0,0,22.333333333333332
58,GPT4,21.666666666666668,0,0,21.666666666666668
58,Llama,24,0,0,24
59,GPT35,24.333333333333332,10,13.333333333333334,47.666666666666664
59,GPT4,25,10,15,50
59,Llama,25,10,15,50
60,GPT35,22.666666666666668,10,13.666666666666666,46.333333333333336
60,GPT4,22.333333333333332,10,12,44.33333333333333
60,Llama,23.333333333333332,10,10.666666666666666,43.99999999999999
61,GPT35,24.666666666666668,9,12.666666666666666,46.333333333333336
61,GPT4,24.666666666666668,9.333333333333334,11.333333333333334,45.333333333333336
61,Llama,22.333333333333332,0,0,22.333333333333332
62,GPT35,22.333333333333332,0,0,22.333333333333332
62,GPT4,21,0,0,21
62,Llama,20.333333333333332,0,0,20.333333333333332
63,GPT35,23,0,0,23
63,GPT4,24.333333333333332,10,14,48.33333333333333
63,Llama,22.666666666666668,8.666666666666666,11.333333333333334,42.66666666666667
64,GPT35,23.333333333333332,2,0,25.333333333333332
64,GPT4,22.666666666666668,0,0,22.666666666666668
64,Llama,20.333333333333332,8.666666666666666,10.333333333333334,39.333333333333336
65,GPT35,24,0,0,24
65,GPT4,23,0,0,23
65,Llama,21.666666666666668,0,0,21.666666666666668
66,GPT35,24,0,0,24
66,GPT4,25,10,14.333333333333334,49.333333333333336
66,Llama,25,10,14.333333333333334,49.333333333333336
67,GPT35,24.666666666666668,10,12.333333333333334,47.00000000000001
67,GPT4,23.333333333333332,0,0,23.333333333333332
67,Llama,23.333333333333332,10,12,45.33333333333333
68,GPT35,24,0,0,24
68,GPT4,24.333333333333332,0,0,24.333333333333332
68,Llama,23.666666666666668,0,0,23.666666666666668
69,GPT35,23.333333333333332,10,10.333333333333334,43.666666666666664
69,GPT4,24,0,0,24
69,Llama,22.333333333333332,0,0,22.333333333333332
70,GPT35,22.333333333333332,0,0,22.333333333333332
70,GPT4,23.666666666666668,0,0,23.666666666666668
70,Llama,20.333333333333332,0,0,20.333333333333332
71,GPT35,24.666666666666668,0,0,24.666666666666668
71,GPT4,23.666666666666668,0,0,23.666666666666668
71,Llama,24,0,0,24
72,GPT35,24.333333333333332,0,0,24.333333333333332
72,GPT4,23.333333333333332,0,0,23.333333333333332
72,Llama,21.333333333333332,0,0,21.333333333333332
73,GPT35,24.333333333333332,0,0,24.333333333333332
73,GPT4,23.666666666666668,0,0,23.666666666666668
73,Llama,22.333333333333332,0,0,22.333333333333332
74,GPT35,22.666666666666668,7,4,33.66666666666667
74,GPT4,22.666666666666668,0,0,22.666666666666668
74,Llama,23.666666666666668,0,0,23.666666666666668
75,GPT35,23.333333333333332,0,0,23.333333333333332
75,GPT4,22.666666666666668,0,0,22.666666666666668
75,Llama,23.333333333333332,10,9.333333333333334,42.666666666666664
76,GPT35,25,7.333333333333333,9,41.333333333333336
76,GPT4,25,6.666666666666667,0,31.666666666666668
76,Llama,25,0,0,25
77,GPT35,24.666666666666668,10,14.666666666666666,49.333333333333336
77,GPT4,23.333333333333332,10,11,44.33333333333333
77,Llama,23.666666666666668,10,12.666666666666666,46.333333333333336
78,GPT35,25,10,14.666666666666666,49.666666666666664
78,GPT4,21.333333333333332,0,0,21.333333333333332
78,Llama,22.333333333333332,7.333333333333333,11.666666666666666,41.33333333333333
79,GPT35,24,10,7,41
79,GPT4,23,0,0,23
79,Llama,22.333333333333332,10,12.333333333333334,44.666666666666664
80,GPT35,25,9.666666666666666,14,48.666666666666664
80,GPT4,25,9.666666666666666,14,48.666666666666664
80,Llama,18.666666666666668,0,0,18.666666666666668
81,GPT35,25,10,13.333333333333334,48.333333333333336
81,GPT4,24.333333333333332,0,0,24.333333333333332
81,Llama,23,6.333333333333333,13.666666666666666,43
82,GPT35,25,10,14.333333333333334,49.333333333333336
82,GPT4,23,9,14.333333333333334,46.333333333333336
82,Llama,25,10,12.666666666666666,47.666666666666664
83,GPT35,25,10,12.333333333333334,47.333333333333336
83,GPT4,25,10,12.333333333333334,47.333333333333336
83,Llama,23.333333333333332,7.666666666666667,11.333333333333334,42.333333333333336
84,GPT35,24.666666666666668,10,13,47.66666666666667
84,GPT4,24,0,0,24
84,Llama,22,0,0,22
85,GPT35,25,10,12.666666666666666,47.666666666666664
85,GPT4,23,0,0,23
85,Llama,24,10,13.333333333333334,47.333333333333336
86,GPT35,25,10,14.333333333333334,49.333333333333336
86,GPT4,25,10,14.333333333333334,49.333333333333336
86,Llama,22.666666666666668,0,0,22.666666666666668
87,GPT35,22.666666666666668,10,11.666666666666666,44.333333333333336
87,GPT4,21.333333333333332,10,5.666666666666667,37
87,Llama,21.333333333333332,0,0,21.333333333333332
88,GPT35,22.333333333333332,0,0,22.333333333333332
88,GPT4,23.333333333333332,8,10.333333333333334,41.666666666666664
88,Llama,24.333333333333332,10,13,47.33333333333333
89,GPT35,20.666666666666668,0,0,20.666666666666668
89,GPT4,20,6,11.333333333333334,37.333333333333336
89,Llama,23.333333333333332,6.333333333333333,10,39.666666666666664
90,GPT35,24.666666666666668,7.333333333333333,13.333333333333334,45.333333333333336
90,GPT4,21.666666666666668,0,0,21.666666666666668
90,Llama,22,0,0,22
91,GPT35,25,10,15,50
91,GPT4,25,10,13.666666666666666,48.666666666666664
91,Llama,23,0,0,23
92,GPT35,25,10,14.333333333333334,49.333333333333336
92,GPT4,25,10,14.333333333333334,49.333333333333336
92,Llama,24.666666666666668,10,10.333333333333334,45.00000000000001
93,GPT35,25,10,11,46
93,GPT4,23.333333333333332,0,0,23.333333333333332
93,Llama,24.666666666666668,10,15,49.66666666666667
94,GPT35,23,0,0,23
94,GPT4,25,10,11.666666666666666,46.666666666666664
94,Llama,22,8.333333333333334,9.333333333333334,39.66666666666667
95,GPT35,24,0,0,24
95,GPT4,24.333333333333332,10,12.666666666666666,46.99999999999999
95,Llama,24,10,10,44
96,GPT35,23,0,0,23
96,GPT4,23.666666666666668,6.666666666666667,10.666666666666666,41
96,Llama,22,0,0,22
97,GPT35,23.333333333333332,0,0,23.333333333333332
97,GPT4,22.333333333333332,0,0,22.333333333333332
97,Llama,24,9,10,43
98,GPT35,23.666666666666668,0,0,23.666666666666668
98,GPT4,25,10,15,50
98,Llama,23.666666666666668,4.333333333333333,13,41
99,GPT35,21.666666666666668,0,0,21.666666666666668
99,GPT4,22.333333333333332,10,13,45.33333333333333
99,Llama,24.333333333333332,7,10.666666666666666,42
100,GPT35,22.666666666666668,0,0,22.666666666666668
100,GPT4,24.666666666666668,10,15,49.66666666666667
100,Llama,23.333333333333332,0,0,23.333333333333332
101,GPT35,25,10,14.333333333333334,49.333333333333336
101,GPT4,23.666666666666668,6.666666666666667,0,30.333333333333336
101,Llama,23.666666666666668,0,0,23.666666666666668
102,GPT35,25,10,15,50
102,GPT4,24,10,15,49
102,Llama,23,0,0,23
103,GPT35,22,0,0,22
103,GPT4,23.666666666666668,0,0,23.666666666666668
103,Llama,21,0,0,21
104,GPT35,23,0,0,23
104,GPT4,24,0,0,24
104,Llama,22.666666666666668,2,2,26.666666666666668
105,GPT35,24.333333333333332,0,0,24.333333333333332
105,GPT4,24,7,8,39
105,Llama,21.333333333333332,0,0,21.333333333333332
106,GPT35,25,10,15,50
106,GPT4,24.333333333333332,10,3.666666666666667,37.99999999999999
106,Llama,25,10,15,50
107,GPT35,25,10,14,49
107,GPT4,25,10,15,50
107,Llama,23,7,11.333333333333334,41.333333333333336
108,GPT35,21.666666666666668,0,0,21.666666666666668
108,GPT4,21.333333333333332,0,0,21.333333333333332
108,Llama,19.333333333333332,3,4.666666666666667,27
109,GPT35,23,0,0,23
109,GPT4,25,10,15,50
109,Llama,20.333333333333332,0,0,20.333333333333332
110,GPT35,22.333333333333332,0,0,22.333333333333332
110,GPT4,23,10,9,42
110,Llama,18,0,0,18
111,GPT35,20.666666666666668,0,0,20.666666666666668
111,GPT4,23.333333333333332,10,15,48.33333333333333
111,Llama,25,10,15,50
112,GPT35,24,0,0,24
112,GPT4,23.666666666666668,0,0,23.666666666666668
112,Llama,21.333333333333332,0,0,21.333333333333332
113,GPT35,22,10,11.666666666666666,43.666666666666664
113,GPT4,25,10,15,50
113,Llama,22.666666666666668,4.666666666666667,14,41.333333333333336
114,GPT35,21.333333333333332,0,5,26.333333333333332
114,GPT4,20.666666666666668,0,0,20.666666666666668
114,Llama,22.666666666666668,8,15,45.66666666666667
115,GPT35,25,10,14.333333333333334,49.333333333333336
115,GPT4,25,10,15,50
115,Llama,23.666666666666668,10,12,45.66666666666667
116,GPT35,25,10,15,50
116,GPT4,25,10,15,50
116,Llama,25,10,15,50
117,GPT35,24,10,14.666666666666666,48.666666666666664
117,GPT4,25,10,15,50
117,Llama,25,10,15,50
118,GPT35,25,10,15,50
118,GPT4,25,10,15,50
118,Llama,23.666666666666668,10,13.666666666666666,47.333333333333336
119,GPT35,21.666666666666668,0,0,21.666666666666668
119,GPT4,25,10,15,50
119,Llama,22.666666666666668,6.666666666666667,9.666666666666666,39
120,GPT35,23,0,0,23
120,GPT4,23.666666666666668,0,0,23.666666666666668
120,Llama,20.666666666666668,0,0,20.666666666666668
121,GPT35,21.333333333333332,0,0,21.333333333333332
121,GPT4,21.333333333333332,0,0,21.333333333333332
121,Llama,22.666666666666668,0,0,22.666666666666668
122,GPT35,23,0,0,23
122,GPT4,24,0,0,24
122,Llama,22,0,0,22
123,GPT35,25,10,15,50
123,GPT4,25,10,15,50
123,Llama,25,10,15,50
124,GPT35,25,0,0,25
124,GPT4,23.333333333333332,0,0,23.333333333333332
124,Llama,25,0,0,25
125,GPT35,22,0,0,22
125,GPT4,23.333333333333332,10,15,48.33333333333333
125,Llama,23,10,15,48
126,GPT35,20.666666666666668,5,8.666666666666666,34.333333333333336
126,GPT4,24,0,0,24
126,Llama,21.666666666666668,0,0,21.666666666666668
