ID,Dataset_ID,ProblemDescription,Humanverified_SAScode,DataDescription,TaskDatasets,DatasetName
1,1,PD0001,SC0001,DD0001,DS0001,chisq.csv
2,1,PD0002,SC0002,DD0001,DS0001,chisq.csv
3,2,PD0003,SC0003,DD0002,DS0002,copper.csv
4,2,PD0004,SC0004,DD0002,DS0002,copper.csv
5,2,PD0005,SC0005,DD0002,DS0002,copper.csv
6,2,PD0006,SC0006,DD0002,DS0002,copper.csv
7,3,PD0007,SC0007,DD0003,DS0003,crack.csv
8,3,PD0008,SC0008,DD0003,DS0003,crack.csv
9,3,PD0009,SC0009,DD0003,DS0003,crack.csv
10,3,PD0010,SC0010,DD0003,DS0003,crack.csv
11,3,PD0011,SC0011,DD0003,DS0003,crack.csv
12,3,PD0012,SC0012,DD0003,DS0003,crack.csv
13,4,PD0013,SC0013,DD0004,DS0004,toxic.csv
14,4,PD0014,SC0014,DD0004,DS0004,toxic.csv
15,4,PD0015,SC0015,DD0004,DS0004,toxic.csv
16,4,PD0016,SC0016,DD0004,DS0004,toxic.csv
17,5,PD0017,SC0017,DD0005,DS0005,sleeptime.csv
18,5,PD0018,SC0018,DD0005,DS0005,sleeptime.csv
19,6,PD0019,SC0019,DD0006,DS0006,read.csv
20,7,PD0020,SC0020,DD0007,DS0007,response.csv
21,8,PD0021,SC0021,DD0008,DS0008,soil.csv
22,9,PD0022,SC0022,DD0009,DS0009,horse.csv
23,10,PD0023,SC0023,DD0010,DS0010,words.csv
24,10,PD0024,SC0024,DD0010,DS0010,words.csv
25,11,PD0025,SC0025,DD0011,DS0011,retention.csv
26,11,PD0026,SC0026,DD0011,DS0011,retention.csv
27,12,PD0027,SC0027,DD0012,DS0012,poplar.csv
28,13,PD0028,SC0028,DD0013,DS0013,race.csv
29,14,PD0029,SC0029,DD0014,DS0014,racecounts.csv
30,15,PD0030,SC0030,DD0015,DS0015,opinioncounts.csv
31,16,PD0031,SC0031,DD0016,DS0016,opinion.csv
32,17,PD0032,SC0032,DD0017,DS0017,ecmo.csv
33,18,PD0033,SC0033,DD0018,DS0018,athelete.csv
34,19,PD0034,SC0034,DD0019,DS0019,measurement.csv
35,19,PD0035,SC0035,DD0019,DS0019,measurement.csv
36,19,PD0036,SC0036,DD0019,DS0019,measurement.csv
37,23,PD0037,SC0037,DD0023,DS0023,marketing_data.csv
38,19,PD0038,SC0038,DD0019,DS0019,measurement.csv
39,19,PD0039,SC0039,DD0019,DS0019,measurement.csv
40,6,PD0040,SC0040,DD0006,DS0006,read.csv
41,20,PD0041,SC0041,DD0020,DS0020,Sashelp.shoes.csv
42,20,PD0042,SC0042,DD0020,DS0020,Sashelp.shoes.csv
43,20,PD0043,SC0043,DD0020,DS0020,Sashelp.shoes.csv
44,20,PD0044,SC0044,DD0020,DS0020,Sashelp.shoes.csv
45,20,PD0045,SC0045,DD0020,DS0020,Sashelp.shoes.csv
46,20,PD0046,SC0046,DD0020,DS0020,Sashelp.shoes.csv
47,20,PD0047,SC0047,DD0020,DS0020,Sashelp.shoes.csv
48,20,PD0048,SC0048,DD0020,DS0020,Sashelp.shoes.csv
49,20,PD0049,SC0049,DD0020,DS0020,Sashelp.shoes.csv
50,20,PD0050,SC0050,DD0020,DS0020,Sashelp.shoes.csv
51,20,PD0051,SC0051,DD0020,DS0020,Sashelp.shoes.csv
52,20,PD0052,SC0052,DD0020,DS0020,Sashelp.shoes.csv
53,20,PD0053,SC0053,DD0020,DS0020,Sashelp.shoes.csv
54,20,PD0054,SC0054,DD0020,DS0020,Sashelp.shoes.csv
55,21,PD0055,SC0055,DD0021,DS0021,Sashelp.Baseball.csv
56,21,PD0056,SC0056,DD0021,DS0021,Sashelp.Baseball.csv
57,21,PD0057,SC0057,DD0021,DS0021,Sashelp.Baseball.csv
58,21,PD0058,SC0058,DD0021,DS0021,Sashelp.Baseball.csv
59,22,PD0059,SC0059,DD0022,DS0022,Oxygen.csv
60,22,PD0060,SC0060,DD0022,DS0022,Oxygen.csv
61,24,PD0061,SC0061,DD0024,DS0024,imports.csv
62,26,PD0062,SC0062,DD0026,DS0026,glassid.csv
63,24,PD0063,SC0063,DD0024,DS0024,imports.csv
64,26,PD0064,SC0064,DD0026,DS0026,glassid.csv
65,26,PD0065,SC0065,DD0026,DS0026,glassid.csv
66,25,PD0066,SC0066,DD0025,DS0025,iron.csv
67,25,PD0067,SC0067,DD0025,DS0025,iron.csv
68,25,PD0068,SC0068,DD0025,DS0025,iron.csv
69,26,PD0069,SC0069,DD0026,DS0026,glassid.csv
70,26,PD0070,SC0070,DD0026,DS0026,glassid.csv
71,26,PD0071,SC0071,DD0026,DS0026,glassid.csv
72,26,PD0072,SC0072,DD0026,DS0026,glassid.csv
73,26,PD0073,SC0073,DD0026,DS0026,glassid.csv
74,26,PD0074,SC0074,DD0026,DS0026,glassid.csv
75,26,PD0075,SC0075,DD0026,DS0026,glassid.csv
76,26,PD0076,SC0076,DD0026,DS0026,glassid.csv
