FeRetention,Fe,Zn
0.2089,Low,High
0.1563,Low,High
0.1339,Low,High
0.2407,Low,High
0.2027,Low,High
0.2429,Low,High
0.294,Low,High
0.2394,Low,High
0.7255,Low,Low
0.7285,Low,Low
0.7375,Low,Low
0.6855,Low,Low
0.7093,Low,Low
0.6996,Low,Low
0.6619,Low,Low
0.7052,Low,Low
1.0635,High,Low
1.0532,High,Low
0.953,High,Low
0.9355,High,Low
0.9389,High,Low
0.9852,High,Low
0.9923,High,Low
1.0267,High,Low
1.4334,High,High
1.4961,High,High
1.3809,High,High
1.3718,High,High
1.4063,High,High
1.375,High,High
1.4286,High,High
1.4004,High,High
