opinion,gender
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes,female
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
yes ,male
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,female
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
no,male
