i,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
1,17.929297786,0.0513419731,5.7428543739,85.082455001,19.128562404,2.4275646231,0.0085248653,17.388691734,16.10829569,289.35244283,17.316367016
2,12.193628778,1.4242597165,12.364094414,-8.284068883,19.207050571,3.2946661538,0.0044589947,10.21877531,7.2197812196,253.79534748,-2.490439061
3,0.556292253,3.9921542774,11.602717501,49.90092932,11.076468658,8.2170526252,489.67034765,17.306219283,20.418498457,147.00429205,44.146813565
4,5.6678637951,0.0322493315,14.821078726,112.72378756,2.243173487,1.968789594,0.1587167779,16.542646936,18.622410051,205.53026074,25.653331623
5,13.148944861,0.0283913307,13.764279405,205.87222868,13.841865161,0.3976247056,0.1031895267,13.488305298,12.431155685,71.134531285,6.3382630511
6,10.139065764,0.0775025172,11.914372829,88.396254295,2.8520431783,0.8135533784,0.1499873643,16.439256906,15.756644626,238.59121188,14.305029829
7,8.5827684744,0.0116319182,14.619586281,98.891618493,6.0413209957,1.8104774167,1.5149511891,17.91012587,18.526264679,267.48725151,19.339437886
8,14.160598352,233.8553277,7.9941810355,72.823253089,14.426310664,467.87824004,0.0437205876,10.46402609,245.12064748,314.30608893,1884.7272165
9,14.184897548,21.138537828,10.323067613,89.192259185,12.747737893,42.613666662,0.0315666744,15.994544285,37.780787947,121.79208914,190.1267797
10,4.3628852532,0.0006969286,5.1332865749,162.24408864,2.5397061153,0.2436621775,163.70796019,14.219586117,12.081819999,139.71082432,6.166073041
11,12.008884889,18.694316159,14.374988,83.951521714,11.225805268,37.482880715,0.946893774,16.377596493,36.315778112,245.23965231,168.64464846
12,8.2419988158,0.0333165519,7.5340175314,87.120494369,7.7411127271,0.1428128835,1.0882406097,12.333511961,15.151248248,183.39550731,24.807820471
13,5.4078091919,0.5729853861,14.579876154,97.365343396,3.023932973,1.5196495688,0.0045796468,13.675634032,14.720765464,163.41148303,17.798117102
14,6.037692432,0.0529329578,7.3367630189,116.22833621,6.3569066626,1.2653919282,9.7645733294,12.007623051,12.732534741,381.63478355,21.938641305
15,7.9448466454,2.3802640207,8.3784800644,132.05679286,7.2448502689,5.1293370519,19.662238905,14.014848361,17.003426928,142.38665832,34.019549866
16,17.739593667,1.3024418158,11.705525246,185.05994795,24.342405233,3.1531505984,1.280218042,16.18305429,19.262273689,182.4452863,32.73284436
17,10.832476667,0.1189326062,8.7770515605,89.09562439,12.659082944,1.4387080792,1.2546450035,11.820331645,10.369073723,122.6080529,2.9638623947
18,11.134526661,0.4080290712,8.6768618057,174.2895033,17.626504974,1.0657438026,0.1139755457,11.917853386,15.223349838,243.37353141,34.61493858
19,16.125970781,20552.953514,14.686222626,31.889760967,18.583065258,41106.704635,0.3352345028,10.001049139,20563.866342,169.88241094,164436.7262
20,12.785858346,25.946467698,9.1175764306,153.15854862,13.161986078,52.495606227,10.679292261,13.049139456,38.059412422,51.847158869,212.47761534
21,2.2839256387,406.58682164,12.671067951,91.679317833,1.7219456136,813.55588325,0.2396496611,12.71209515,423.22901153,243.87220025,3283.8523518
