,snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,emer,enroll,mealcat
1,906.00 ,41.00 ,693.00 ,600.00 ,93.00 ,67.00 ,9.00 ,0.00 ,11.00 ,16.00 ,22.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,76.00 ,24.00 ,247.00 ,2.00 
2,889.00 ,41.00 ,570.00 ,501.00 ,69.00 ,92.00 ,21.00 ,0.00 ,33.00 ,15.00 ,32.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,79.00 ,19.00 ,463.00 ,3.00 
3,887.00 ,41.00 ,546.00 ,472.00 ,74.00 ,97.00 ,29.00 ,0.00 ,36.00 ,17.00 ,25.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,NA,68.00 ,29.00 ,395.00 ,3.00 
4,876.00 ,41.00 ,571.00 ,487.00 ,84.00 ,90.00 ,27.00 ,0.00 ,27.00 ,20.00 ,30.00 ,36.00 ,45.00 ,9.00 ,9.00 ,0.00 ,1.9099999666214,87.00 ,11.00 ,418.00 ,3.00 
5,888.00 ,41.00 ,478.00 ,425.00 ,53.00 ,89.00 ,30.00 ,0.00 ,44.00 ,18.00 ,31.00 ,50.00 ,50.00 ,0.00 ,0.00 ,0.00 ,1.50 ,87.00 ,13.00 ,520.00 ,3.00 
6,4284.00 ,98.00 ,858.00 ,844.00 ,14.00 ,NA,3.00 ,0.00 ,10.00 ,20.00 ,33.00 ,1.00 ,8.00 ,24.00 ,36.00 ,31.00 ,3.89000010490417,100.00 ,0.00 ,343.00 ,1.00 
7,4271.00 ,98.00 ,918.00 ,864.00 ,54.00 ,NA,2.00 ,0.00 ,16.00 ,19.00 ,28.00 ,1.00 ,4.00 ,18.00 ,34.00 ,43.00 ,4.13000011444092,100.00 ,0.00 ,303.00 ,1.00 
8,2910.00 ,108.00 ,831.00 ,791.00 ,40.00 ,NA,3.00 ,0.00 ,44.00 ,20.00 ,31.00 ,0.00 ,4.00 ,16.00 ,50.00 ,30.00 ,4.05999994277954,96.00 ,2.00 ,1513.00 ,1.00 
9,2899.00 ,108.00 ,860.00 ,838.00 ,22.00 ,NA,6.00 ,0.00 ,10.00 ,20.00 ,30.00 ,2.00 ,9.00 ,15.00 ,42.00 ,33.00 ,3.96000003814697,100.00 ,0.00 ,660.00 ,1.00 
10,2887.00 ,108.00 ,737.00 ,703.00 ,34.00 ,29.00 ,15.00 ,0.00 ,17.00 ,21.00 ,29.00 ,8.00 ,25.00 ,34.00 ,27.00 ,7.00 ,2.98000001907349,96.00 ,7.00 ,362.00 ,1.00 
11,2911.00 ,108.00 ,851.00 ,808.00 ,43.00 ,NA,2.00 ,0.00 ,16.00 ,20.00 ,30.00 ,0.00 ,3.00 ,16.00 ,45.00 ,37.00 ,4.15000009536743,100.00 ,2.00 ,768.00 ,1.00 
12,2882.00 ,108.00 ,536.00 ,496.00 ,40.00 ,71.00 ,69.00 ,0.00 ,8.00 ,21.00 ,27.00 ,61.00 ,15.00 ,6.00 ,10.00 ,8.00 ,1.89999997615814,100.00 ,6.00 ,404.00 ,2.00 
13,2907.00 ,108.00 ,847.00 ,815.00 ,32.00 ,NA,2.00 ,0.00 ,11.00 ,20.00 ,29.00 ,1.00 ,5.00 ,17.00 ,41.00 ,37.00 ,4.07999992370605,97.00 ,3.00 ,586.00 ,1.00 
14,2908.00 ,108.00 ,765.00 ,711.00 ,54.00 ,13.00 ,8.00 ,0.00 ,19.00 ,21.00 ,27.00 ,5.00 ,34.00 ,27.00 ,31.00 ,3.00 ,2.9300000667572,98.00 ,2.00 ,633.00 ,1.00 
15,2895.00 ,108.00 ,809.00 ,802.00 ,7.00 ,NA,8.00 ,0.00 ,16.00 ,20.00 ,31.00 ,5.00 ,27.00 ,25.00 ,37.00 ,6.00 ,3.11999988555908,89.00 ,7.00 ,379.00 ,1.00 
16,2880.00 ,108.00 ,813.00 ,780.00 ,33.00 ,NA,11.00 ,0.00 ,12.00 ,21.00 ,32.00 ,10.00 ,35.00 ,23.00 ,27.00 ,6.00 ,2.83999991416931,100.00 ,0.00 ,417.00 ,1.00 
17,2890.00 ,108.00 ,856.00 ,816.00 ,40.00 ,NA,6.00 ,0.00 ,13.00 ,21.00 ,29.00 ,1.00 ,10.00 ,15.00 ,42.00 ,32.00 ,3.95000004768372,100.00 ,0.00 ,670.00 ,1.00 
18,3948.00 ,131.00 ,712.00 ,677.00 ,35.00 ,40.00 ,12.00 ,1.00 ,19.00 ,19.00 ,30.00 ,14.00 ,30.00 ,31.00 ,19.00 ,6.00 ,2.71000003814697,85.00 ,12.00 ,589.00 ,1.00 
19,3956.00 ,131.00 ,805.00 ,759.00 ,46.00 ,NA,1.00 ,0.00 ,26.00 ,21.00 ,31.00 ,2.00 ,16.00 ,41.00 ,29.00 ,12.00 ,3.30999994277954,93.00 ,7.00 ,770.00 ,1.00 
20,3947.00 ,131.00 ,678.00 ,632.00 ,46.00 ,37.00 ,16.00 ,1.00 ,16.00 ,20.00 ,32.00 ,12.00 ,27.00 ,29.00 ,27.00 ,6.00 ,2.86999988555908,83.00 ,15.00 ,694.00 ,1.00 
21,3952.00 ,131.00 ,619.00 ,570.00 ,49.00 ,57.00 ,25.00 ,1.00 ,24.00 ,19.00 ,31.00 ,19.00 ,25.00 ,29.00 ,20.00 ,6.00 ,2.6800000667572,75.00 ,25.00 ,611.00 ,2.00 
22,3954.00 ,131.00 ,713.00 ,704.00 ,9.00 ,29.00 ,14.00 ,1.00 ,14.00 ,20.00 ,30.00 ,11.00 ,29.00 ,28.00 ,26.00 ,7.00 ,2.88000011444092,80.00 ,15.00 ,594.00 ,1.00 
23,3943.00 ,131.00 ,704.00 ,618.00 ,86.00 ,57.00 ,19.00 ,1.00 ,22.00 ,20.00 ,30.00 ,15.00 ,32.00 ,35.00 ,14.00 ,5.00 ,2.61999988555908,69.00 ,29.00 ,564.00 ,2.00 
24,3945.00 ,131.00 ,523.00 ,452.00 ,71.00 ,69.00 ,43.00 ,1.00 ,31.00 ,19.00 ,29.00 ,32.00 ,34.00 ,18.00 ,12.00 ,4.00 ,2.22000002861023,71.00 ,29.00 ,645.00 ,2.00 
